product_code;active;name;price;vat;unit;category;producer;other_price;pkwiu;weight;priority;short_description;description;stock;stock_warnlevel;availability;delivery;views;rank;rank_votes;images 1
TSv7PRO;1;Podstawka pod Thermomix TM7 TSv7PRO;199.00;23;szt.;Asortyment;MaGo3d;0;;0.5;0;Podstawka z kółkami pod Thermomix TM7;Profesjonalna podstawka z kółkami pod Thermomix TM7. Wykonana z PLA+ w technologii druku 3D. Nośność do 15kg.;10;2;dostępny;0;0;0;0;
HWSv12OG;1;Ekspozytor gablotek z oświetleniem RLC;59.00;23;szt.;Asortyment;MaGo3d;0;;0.3;0;Ekspozytor gablotek z oświetleniem do aut 1:64;Ekspozytor gablotek z oświetleniem do aut kolekcjonerskich 1:64 PREMIUM RLC;10;2;dostępny;0;0;0;0;
WypelnienieGablotek;1;Wypełnienie ekspozytora gablotek Hot Wheels RLC;18.00;23;szt.;Asortyment;MaGo3d;0;;0.1;0;Wypełnienie ekspozytora gablotek;Wypełnienie ekspozytora gablotek pod gablotki Hot Wheels RLC;10;2;dostępny;0;0;0;0;
USBConnect;1;Zestaw podłączeniowy USB do gablotek LED;29.00;23;szt.;Asortyment;MaGo3d;0;;0.1;0;Zestaw USB do gablotek LED;Zestaw podłączeniowy USB do gablotek LED i oświetlenia kart LED;10;2;dostępny;0;0;0;0;
HWSv12NS;1;Stojak ekspozytor Hot Wheels samoprzylepny;79.00;23;szt.;Asortyment;MaGo3d;0;;0.3;0;Stojak ekspozytor Hot Wheels;Stojak ekspozytor organizer Hot Wheels RLC samoprzylepny nabiurkowy;10;2;dostępny;0;0;0;0;
F1;1;Stojak obrotowy na LEGO F1;14.00;23;szt.;Asortyment;MaGo3d;0;;0.1;0;Stojak obrotowy LEGO F1;Stojak Mocowanie Podstawa obrotowa na LEGO ICONS 71049 Samochody Wyścigowe F1;10;2;dostępny;0;0;0;0;
AdapterAntilop;1;Adapter z kółkami pod IKEA Antilop;159.00;23;szt.;Asortyment;MaGo3d;0;;0.8;0;Adapter z kółkami IKEA Antilop;Adapter z kółkami pod fotelik krzesełko IKEA Antilop – moduł rozbudowujący;10;2;dostępny;0;0;0;0;
Przedluzka;1;Przedłużka 0.5m ekspozytora Hot Wheels;22.00;23;szt.;Asortyment;MaGo3d;0;;0.2;0;Przedłużka ekspozytora Hot Wheels;Przedłużka rozszerzenie 0.5m ekspozytora na karty gablotki Hot Wheels RLC;10;2;dostępny;0;0;0;0;
TSv3;1;Podstawka pod Thermomix TM5 TM6 TSv3;109.00;23;szt.;Asortyment;MaGo3d;0;;0.5;0;Podstawka z kółkami TM5 TM6;Podstawka deska tacka z kółkami pod Thermomix TM5 TM6 TSv3;10;2;dostępny;0;0;0;0;
TSv4;1;Podstawka pod Thermomix TM5 TM6 TSv4;109.00;23;szt.;Asortyment;MaGo3d;0;;0.5;0;Podstawka z kółkami TM5 TM6;Podstawka deska tacka z kółkami pod Thermomix TM5 TM6 TSv4;10;2;dostępny;0;0;0;0;
TSv4PRO;1;Podstawka pod Thermomix TM5 TM6 TSv4PRO;189.00;23;szt.;Asortyment;MaGo3d;0;;0.5;0;Podstawka PRO TM5 TM6;Podstawka deska z kółkami pod Thermomix TM5 TM6 TSv4PRO;10;2;dostępny;0;0;0;0;
HWSv24S;1;Stojak ekspozytor naścienny Hot Wheels HWSv24S;139.00;23;szt.;Asortyment;MaGo3d;0;;0.4;0;Stojak naścienny Hot Wheels;Stojak Ekspozytor naścienny na karty resoraki Hot Wheels Matchbox Majorette;10;2;dostępny;0;0;0;0;
HWSv24;1;Stojak ekspozytor nabiurkowy Hot Wheels HWSv24;89.00;23;szt.;Asortyment;MaGo3d;0;;0.3;0;Stojak nabiurkowy Hot Wheels;Stojak Ekspozytor nabiurkowy pojedynczy na karty resoraki Hot Wheels;10;2;dostępny;0;0;0;0;
HWSv48;1;Stojak ekspozytor podwójny Hot Wheels HWSv48;119.00;23;szt.;Asortyment;MaGo3d;0;;0.4;0;Stojak podwójny Hot Wheels;Stojak Ekspozytor nabiurkowy podwójny na karty resoraki Hot Wheels;10;2;dostępny;0;0;0;0;
IkeaHavsenDrainer;1;Ociekacz na zlew IKEA Havsen;49.00;23;szt.;Asortyment;MaGo3d;0;;0.3;0;Ociekacz na zlew IKEA Havsen;Ociekacz na zlew IKEA Havsen – Drainer;10;2;dostępny;0;0;0;0;
IkeaSkadisLegoTinyPlants;1;Uchwyt LEGO rośliny IKEA SKADIS;66.73;23;szt.;Asortyment;MaGo3d;0;;0.1;0;Uchwyt LEGO rośliny SKADIS;Uchwyt na małe roślinki LEGO pod tablicę IKEA SKADIS;10;2;dostępny;0;0;0;0;
IkeaSkadisForsa;1;Uchwyt lampa IKEA FORSA SKADIS;26.69;23;szt.;Asortyment;MaGo3d;0;;0.1;0;Uchwyt lampa IKEA FORSA;Uchwyt na lampę IKEA FORSA pod tablicę IKEA SKADIS;10;2;dostępny;0;0;0;0;
IkeaSkadisTertail;1;Uchwyt lampa IKEA TERTAIL SKADIS;37.98;23;szt.;Asortyment;MaGo3d;0;;0.1;0;Uchwyt lampa IKEA TERTAIL;Uchwyt na lampę IKEA TERTAIL pod tablicę IKEA SKADIS;10;2;dostępny;0;0;0;0;
IkeaSkadisHeadphone;1;Uchwyt słuchawki IKEA SKADIS;34.41;23;szt.;Asortyment;MaGo3d;0;;0.1;0;Uchwyt słuchawki SKADIS;Uchwyt na słuchawki pod tablicę IKEA SKADIS;10;2;dostępny;0;0;0;0;
